Num,Num_Back,Num_SQ,NUM_BACK_SQ
198,102011,110201,10406244121,12144260401
199,102012,210201,10406448144,44184460401
200,102021,120201,10408284441,14448280401
201,102022,220201,10408488484,48488480401
202,102101,101201,10424614201,10241642401
203,102102,201201,10424818404,40481842401
204,102111,111201,10426656321,12365662401
205,102121,121201,10428698641,14689682401
206,103001,100301,10609206001,10060290601
207,103101,101301,10629816201,10261892601
208,110001,100011,12100220001,10002200121
209,110002,200011,12100440004,40004400121
210,110003,300011,12100660009,90006600121
211,110011,110011,12102420121,12102420121
212,110012,210011,12102640144,44104620121
213,110013,310011,12102860169,96106820121
214,110021,120011,12104620441,14402640121
215,110022,220011,12104840484,48404840121
216,110031,130011,12106820961,16902860121
217,110101,101011,12122230201,10203222121
218,110102,201011,12122450404,40405422121
219,110103,301011,12122670609,90607622121
220,110111,111011,12124432321,12323442121
221,110112,211011,12124652544,44525642121
222,110113,311011,12124872769,96727842121
223,110121,121011,12126634641,14643662121
224,110122,221011,12126854884,48845862121
225,110201,102011,12144260401,10406244121
226,110202,202011,12144480804,40808444121
227,110211,112011,12146464521,12546464121
228,110212,212011,12146684944,44948664121
229,110221,122011,12148668841,14886684121
230,111001,100111,12321222001,10022212321
231,111002,200111,12321444004,40044412321
232,111003,300111,12321666009,90066612321
233,111011,110111,12323442121,12124432321
234,111012,210111,12323664144,44146632321
235,111013,310111,12323886169,96168832321
236,111021,120111,12325662441,14426652321
237,111022,220111,12325884484,48448852321
238,111031,130111,12327882961,16928872321
239,111101,101111,12343432201,10223434321
240,111102,201111,12343654404,40445634321
241,111103,301111,12343876609,90667834321
242,111111,111111,12345654321,12345654321
243,111112,211111,12345876544,44567854321
244,111121,121111,12347876641,14667874321
245,111201,102111,12365662401,10426656321
246,111202,202111,12365884804,40848856321
247,111211,112111,12367886521,12568876321
248,112001,100211,12544224001,10042244521
249,112002,200211,12544448004,40084444521
250,112011,110211,12546464121,12146464521
251,112012,210211,12546688144,44188664521
252,112101,101211,12566634201,10243666521
253,112102,201211,12566858404,40485866521
254,112111,111211,12568876321,12367886521
255,113001,100311,12769226001,10062296721
256,120001,100021,14400240001,10004200441
257,120002,200021,14400480004,40008400441
258,120011,110021,14402640121,12104620441
259,120012,210021,14402880144,44108820441
260,120101,101021,14424250201,10205242441
261,120102,201021,14424490404,40409442441
262,120111,111021,14426652321,12325662441
263,120112,211021,14426892544,44529862441
264,120201,102021,14448280401,10408284441
265,121001,100121,14641242001,10024214641
266,121002,200121,14641484004,40048414641
267,121011,110121,14643662121,12126634641
268,121101,101121,14665452201,10225456641
269,121102,201121,14665694404,40449656641
270,121111,111121,14667874321,12347876641
271,121201,102121,14689682401,10428698641
272,122001,100221,14884244001,10044248841
273,122002,200221,14884488004,40088448841
274,122011,110221,14886684121,12148668841
275,130001,100031,16900260001,10006200961
276,130011,110031,16902860121,12106820961
277,130101,101031,16926270201,10207262961
278,130111,111031,16928872321,12327882961
279,200001,100002,40000400001,10000400004
280,200002,200002,40000800004,40000800004
281,200011,110002,40004400121,12100440004
282,200012,210002,40004800144,44100840004
283,200021,120002,40008400441,14400480004
284,200022,220002,40008800484,48400880004
285,200101,101002,40040410201,10201404004
286,200102,201002,40040810404,40401804004
287,200111,111002,40044412321,12321444004
288,200112,211002,40044812544,44521844004
289,200121,121002,40048414641,14641484004
290,200122,221002,40048814884,48841884004
291,200201,102002,40080440401,10404408004
292,200202,202002,40080840804,40804808004
293,200211,112002,40084444521,12544448004
294,200212,212002,40084844944,44944848004
295,200221,122002,40088448841,14884488004
296,201001,100102,40401402001,10020410404
297,201002,200102,40401804004,40040810404
298,201011,110102,40405422121,12122450404
299,201012,210102,40405824144,44142850404
300,201021,120102,40409442441,14424490404
301,201022,220102,40409844484,48444890404
302,201101,101102,40441612201,10221614404
303,201111,111102,40445634321,12343654404
304,201121,121102,40449656641,14665694404
305,201201,102102,40481842401,10424818404
306,201211,112102,40485866521,12566858404
307,202001,100202,40804404001,10040440804
308,202002,200202,40804808004,40080840804
309,202011,110202,40808444121,12144480804
310,202012,210202,40808848144,44184880804
311,202101,101202,40844814201,10241844804
312,202111,111202,40848856321,12365884804
313,210001,100012,44100420001,10002400144
314,210002,200012,44100840004,40004800144
315,210011,110012,44104620121,12102640144
316,210021,120012,44108820441,14402880144
317,210101,101012,44142430201,10203424144
318,210102,201012,44142850404,40405824144
319,210111,111012,44146632321,12323664144
320,210201,102012,44184460401,10406448144
321,210202,202012,44184880804,40808848144
322,210211,112012,44188664521,12546688144
323,211001,100112,44521422001,10022412544
324,211002,200112,44521844004,40044812544
325,211011,110112,44525642121,12124652544
326,211021,120112,44529862441,14426892544
327,211101,101112,44563632201,10223636544
328,211111,111112,44567854321,12345876544
329,212001,100212,44944424001,10042444944
330,212002,200212,44944848004,40084844944
331,212011,110212,44948664121,12146684944
332,212101,101212,44986834201,10243868944
333,220001,100022,48400440001,10004400484
334,220002,200022,48400880004,40008800484
335,220011,110022,48404840121,12104840484
336,220101,101022,48444450201,10205444484
337,220102,201022,48444890404,40409844484
338,220111,111022,48448852321,12325884484
339,220201,102022,48488480401,10408488484
340,221001,100122,48841442001,10024414884
341,221002,200122,48841884004,40048814884
342,221011,110122,48845862121,12126854884
343,221101,101122,48885652201,10225658884
344,300001,100003,90000600001,10000600009
345,300011,110003,90006600121,12100660009
346,300101,101003,90060610201,10201606009
347,300111,111003,90066612321,12321666009
348,301001,100103,90601602001,10020610609
349,301011,110103,90607622121,12122670609
350,301101,101103,90661812201,10221816609
351,301111,111103,90667834321,12343876609
352,310001,100013,96100620001,10002600169
353,310011,110013,96106820121,12102860169
354,310101,101013,96162630201,10203626169
355,310111,111013,96168832321,12323886169
356,311001,100113,96721622001,10022612769
357,311011,110113,96727842121,12124872769
358,311101,101113,96783832201,10223838769
359,1000001,1000001,1000002000001,1000002000001
360,1000002,2000001,1000004000004,4000004000001
361,1000003,3000001,1000006000009,9000006000001
362,1000011,1100001,1000022000121,1210002200001
363,1000012,2100001,1000024000144,4410004200001
364,1000013,3100001,1000026000169,9610006200001
365,1000021,1200001,1000042000441,1440002400001
366,1000022,2200001,1000044000484,4840004400001
367,1000031,1300001,1000062000961,1690002600001
368,1000101,1010001,1000202010201,1020102020001
369,1000102,2010001,1000204010404,4040104020001
370,1000103,3010001,1000206010609,9060106020001
371,1000111,1110001,1000222012321,1232102220001
372,1000112,2110001,1000224012544,4452104220001
373,1000113,3110001,1000226012769,9672106220001
374,1000121,1210001,1000242014641,1464102420001
375,1000122,2210001,1000244014884,4884104420001
376,1000201,1020001,1000402040401,1040402040001
377,1000202,2020001,1000404040804,4080404040001
378,1000211,1120001,1000422044521,1254402240001
379,1000212,2120001,1000424044944,4494404240001
380,1000221,1220001,1000442048841,1488402440001
381,1000301,1030001,1000602090601,1060902060001
382,1000311,1130001,1000622096721,1276902260001
383,1001001,1001001,1002003002001,1002003002001
384,1001002,2001001,1002005004004,4004005002001
385,1001003,3001001,1002007006009,9006007002001
386,1001011,1101001,1002023022121,1212203202001
387,1001012,2101001,1002025024144,4414205202001
388,1001013,3101001,1002027026169,9616207202001
389,1001021,1201001,1002043042441,1442403402001
390,1001022,2201001,1002045044484,4844405402001
391,1001031,1301001,1002063062961,1692603602001
392,1001101,1011001,1002203212201,1022123022001
393,1001102,2011001,1002205214404,4044125022001
394,1001103,3011001,1002207216609,9066127022001
395,1001111,1111001,1002223234321,1234323222001
396,1001112,2111001,1002225236544,4456325222001
397,1001113,3111001,1002227238769,9678327222001
398,1001121,1211001,1002243256641,1466523422001
399,1001122,2211001,1002245258884,4888525422001
